global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
26900,0.000661,0.001107,0.002055,0.006714,0.000921,0.000805,0.000826,0.002227,0.001743,0.000807
27000,0.000645,0.001169,0.002035,0.007161,0.000939,0.000780,0.000810,0.002233,0.001711,0.000820
27100,0.000639,0.001149,0.002028,0.007202,0.000925,0.000816,0.000825,0.002181,0.001701,0.000824
27200,0.000651,0.001180,0.002048,0.006863,0.000923,0.000797,0.000828,0.002182,0.001696,0.000773
27300,0.000611,0.001218,0.002017,0.007474,0.000931,0.000814,0.000798,0.002217,0.001632,0.000771
27400,0.000600,0.001142,0.002033,0.006403,0.000925,0.000816,0.000823,0.002205,0.001687,0.000801
27500,0.000603,0.001099,0.002042,0.007268,0.000907,0.000797,0.000847,0.002191,0.001630,0.000773
27600,0.000610,0.001181,0.002064,0.007753,0.000932,0.000788,0.000803,0.002174,0.001669,0.000779
27700,0.000616,0.001157,0.002055,0.006917,0.000937,0.000828,0.000817,0.002190,0.001679,0.000777
27800,0.000627,0.001122,0.002056,0.007133,0.000932,0.000802,0.000822,0.002205,0.001680,0.000777
27900,0.000638,0.001101,0.001992,0.007224,0.000935,0.000799,0.000809,0.002187,0.001677,0.000787
28000,0.000590,0.001177,0.002035,0.007856,0.000940,0.000794,0.000795,0.002207,0.001623,0.000773
28100,0.000638,0.001113,0.002030,0.006248,0.000929,0.000800,0.000815,0.002209,0.001669,0.000778
28200,0.000614,0.001144,0.001998,0.007201,0.000911,0.000802,0.000829,0.002181,0.001714,0.000773
28300,0.000625,0.001176,0.002035,0.006797,0.000910,0.000813,0.000822,0.002221,0.001660,0.000772
28400,0.000623,0.001176,0.002016,0.007200,0.000930,0.000804,0.000815,0.002174,0.001708,0.000766
28500,0.000623,0.001189,0.002085,0.006651,0.000933,0.000799,0.000788,0.002187,0.001643,0.000759
28600,0.000604,0.001186,0.001990,0.006573,0.000925,0.000805,0.000807,0.002184,0.001690,0.000788
28700,0.000607,0.001186,0.002030,0.006864,0.000905,0.000798,0.000808,0.002200,0.001667,0.000776
28800,0.000596,0.001115,0.002009,0.007485,0.000911,0.000786,0.000828,0.002204,0.001719,0.000761
28900,0.000616,0.001174,0.002052,0.006473,0.000919,0.000765,0.000780,0.002209,0.001630,0.000754
29000,0.000616,0.001243,0.002047,0.006427,0.000908,0.000784,0.000827,0.002172,0.001653,0.000750
