global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch
49400,0.002151,0.001553,0.008724,0.008194
49500,0.002160,0.001633,0.008738,0.008175
49600,0.002317,0.001714,0.008782,0.009990
49700,0.002332,0.002092,0.008907,0.009945
49800,0.002240,0.001736,0.008803,0.008385
49900,0.002207,0.001708,0.008742,0.008521
50000,0.002175,0.001759,0.008763,0.008573
50100,0.002166,0.001538,0.008740,0.008291
50200,0.002143,0.001557,0.008730,0.007957
50300,0.002149,0.001536,0.008729,0.007965
50400,0.002161,0.001619,0.008718,0.008640
50500,0.002162,0.001529,0.008737,0.008459
50600,0.002166,0.001648,0.008722,0.008219
50700,0.002142,0.001590,0.008712,0.008270
50800,0.002133,0.001627,0.008722,0.008454
50900,0.002139,0.001508,0.008725,0.008340
51000,0.002144,0.001581,0.008696,0.008401
51100,0.002131,0.001632,0.008697,0.008257
51200,0.002143,0.001500,0.008696,0.008283
51300,0.002155,0.001639,0.008715,0.008048
51400,0.002129,0.001636,0.008718,0.008223
51500,0.002145,0.001919,0.008704,0.008215
51600,0.002137,0.001649,0.008709,0.008534
51700,0.002136,0.001538,0.008699,0.008202
51800,0.002138,0.001625,0.008710,0.008455
51900,0.002113,0.001550,0.008693,0.007938
52000,0.002162,0.001618,0.008728,0.008518
52100,0.002141,0.001636,0.008720,0.008519
52200,0.002136,0.001576,0.008703,0.008164
52300,0.002160,0.001522,0.008679,0.008272
52400,0.002193,0.001539,0.008692,0.008223
52500,0.002131,0.001570,0.008693,0.008468
52600,0.002129,0.001645,0.008690,0.008163
52700,0.002125,0.001674,0.008695,0.008445
52800,0.002132,0.001609,0.008696,0.008066
52900,0.002125,0.001746,0.008707,0.008246
53000,0.002134,0.001846,0.008690,0.008312
53100,0.002121,0.001592,0.008684,0.008417
53200,0.002109,0.001738,0.008683,0.008434
53300,0.002105,0.001594,0.008703,0.008414
53400,0.002112,0.001666,0.008704,0.008142
53500,0.002122,0.001586,0.008686,0.008072
53600,0.002140,0.001596,0.008677,0.008494
53700,0.002123,0.001739,0.008705,0.008224
53800,0.002110,0.001614,0.008679,0.008307
53900,0.002113,0.001687,0.008679,0.008199
54000,0.002116,0.001715,0.008697,0.008137
54100,0.002120,0.001559,0.008683,0.008018
54200,0.002115,0.001648,0.008698,0.008674
54300,0.002109,0.001596,0.008695,0.008449
54400,0.002109,0.001702,0.008712,0.008194
54500,0.002120,0.001685,0.008684,0.008624
54600,0.002107,0.001652,0.008671,0.008082
54700,0.002117,0.001810,0.008682,0.007910
54800,0.002122,0.001592,0.008680,0.007852
54900,0.002123,0.001692,0.008683,0.008311
55000,0.002127,0.001555,0.008668,0.008067
55100,0.002099,0.001677,0.008676,0.008135
55200,0.002091,0.001597,0.008679,0.008467
55300,0.002111,0.001627,0.008662,0.008299
55400,0.002841,0.001685,0.008705,0.008553
55500,0.002874,0.002575,0.008941,0.009329
55600,0.002217,0.001951,0.008797,0.008874
55700,0.003125,0.001896,0.008781,0.008949
55800,0.002342,0.001667,0.008718,0.008868
55900,0.002142,0.001911,0.008687,0.008245
56000,0.002291,0.001670,0.008735,0.008210
56100,0.002156,0.001743,0.008682,0.007983
56200,0.002138,0.001779,0.008684,0.008257
56300,0.002176,0.001609,0.008690,0.008703
56400,0.002180,0.001527,0.008706,0.008315
56500,0.002152,0.001582,0.008697,0.008407
56600,0.002118,0.001580,0.008690,0.008266
56700,0.002124,0.001679,0.008666,0.008681
56800,0.002134,0.001517,0.008678,0.008095
56900,0.002097,0.001633,0.008692,0.008476
57000,0.002121,0.001575,0.008692,0.008346
57100,0.002129,0.001618,0.008652,0.008060
57200,0.002120,0.001571,0.008674,0.008384
57300,0.002121,0.001601,0.008684,0.008021
57400,0.002099,0.001529,0.008675,0.008254
57500,0.002113,0.001568,0.008668,0.008429
57600,0.002093,0.001596,0.008672,0.008333
57700,0.002098,0.001640,0.008672,0.007778
57800,0.002091,0.001711,0.008695,0.008351
57900,0.002090,0.001605,0.008682,0.008154
58000,0.002111,0.001548,0.008672,0.008128
58100,0.002168,0.001644,0.008661,0.008505
58200,0.002816,0.001855,0.008773,0.008877
58300,0.002520,0.002164,0.008841,0.009129
58400,0.002767,0.002017,0.008845,0.008698
58500,0.002967,0.002085,0.009220,0.008379
58600,0.002564,0.001834,0.008981,0.008425
58700,0.002344,0.001807,0.008828,0.008627
58800,0.002440,0.002062,0.008992,0.008595
58900,0.002371,0.001904,0.008836,0.008211
59000,0.002302,0.001769,0.008798,0.008262
