global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch
16400,0.000580,0.001002,0.003090,0.006938,0.001151,0.001000,0.000997,0.002145,0.002472,0.000568,0.000299
16500,0.000640,0.000996,0.003078,0.007339,0.001132,0.000999,0.001001,0.002151,0.002701,0.000583,0.000293
16600,0.000590,0.000949,0.003078,0.006153,0.001136,0.001003,0.001003,0.002158,0.002208,0.000758,0.000309
16700,0.000603,0.000982,0.003083,0.005998,0.001132,0.001002,0.001002,0.002114,0.002383,0.000651,0.000303
16800,0.000608,0.001056,0.003080,0.006506,0.001145,0.000999,0.001000,0.002165,0.002583,0.000611,0.000296
16900,0.000615,0.000910,0.003082,0.007977,0.001146,0.000999,0.000999,0.002123,inf,0.000677,0.000298
17000,0.000566,0.000984,0.003083,0.006899,0.001141,0.000998,0.001002,0.002113,0.002488,0.000597,0.000293
17100,0.000614,0.001004,0.003080,0.006778,0.001144,0.000997,0.000997,0.002111,0.002453,0.000640,0.000310
17200,0.000572,0.001046,0.003083,0.006381,0.001128,0.001004,0.001002,0.002141,0.002490,0.000667,0.000292
17300,0.000593,0.000990,0.003080,0.007251,0.001146,0.001000,0.000998,0.002119,0.002643,0.000617,0.000286
17400,0.000583,0.001032,0.003078,0.006750,0.001135,0.000997,0.000999,0.002140,0.002471,0.000734,0.000308
17500,0.000591,0.000996,0.003081,0.006600,0.001148,0.000997,0.000997,0.002117,inf,0.000640,0.000292
17600,0.000636,0.000952,0.003074,0.006256,0.001131,0.001002,0.001003,0.002092,0.002398,0.000632,0.000281
17700,0.000576,0.001063,0.003078,0.006549,0.001142,0.001002,0.000998,0.002123,0.002837,0.000673,0.000297
17800,0.000592,0.001000,0.003083,0.006996,0.001147,0.001001,0.001001,0.002118,0.002704,0.000630,0.000288
17900,0.000570,0.000957,0.003079,0.006542,0.001137,0.001003,0.000997,0.002149,0.002589,0.000633,0.000292
18000,0.000583,0.001039,0.003079,0.007163,0.001149,inf,0.001002,0.002159,0.002330,0.000584,0.000302
18100,0.000591,0.000966,0.003084,0.006524,0.001146,0.001000,0.000998,0.002167,0.002414,0.000709,0.000282
18200,0.000619,0.000961,0.003078,0.006582,0.001138,0.001000,0.001003,0.002131,0.002139,0.000678,0.000311
18300,0.000600,0.000979,0.003073,0.006209,0.001132,0.001000,0.000997,0.002151,0.002698,0.000564,0.000290
18400,0.000585,0.001031,0.003081,0.007135,0.001145,0.000998,0.001000,0.002158,0.002549,0.000646,0.000302
18500,0.000608,0.000878,0.003082,0.007020,0.001157,0.000996,0.000998,0.002158,0.002414,0.000618,0.000291
18600,0.000571,0.000978,0.003080,0.007244,0.001133,0.001001,0.001004,0.002161,0.002394,0.000656,0.000305
18700,0.000595,0.000991,0.003074,0.006764,0.001142,0.001002,0.001000,0.002144,0.002240,0.000630,0.000295
18800,0.000580,0.001011,0.003082,0.007307,0.001145,0.001000,0.000998,0.002124,0.002445,0.000678,0.000299
18900,0.000583,0.000947,0.003078,0.006925,0.001152,0.000998,0.000999,0.002179,0.002188,0.000675,0.000298
19000,0.000593,0.000948,0.003075,0.007122,0.001141,0.001002,0.001001,0.002096,0.002361,0.000614,0.000286
19100,0.000627,0.000920,0.003081,0.007890,0.001137,0.000996,0.000997,0.002179,0.002529,0.000631,0.000284
19200,0.000606,0.000935,0.003074,0.005894,0.001138,0.001006,0.001005,0.002106,0.002760,0.000658,0.000296
19300,0.000591,0.001015,0.003080,0.007599,0.001142,0.000999,0.000999,0.002153,0.002273,0.000611,0.000302
19400,0.000633,0.000939,0.003086,0.006757,0.001131,0.000998,0.000999,0.002152,0.002366,0.000703,0.000299
19500,0.000589,0.000988,0.003083,0.007136,0.001131,0.001001,0.000998,0.002150,0.002539,0.000707,0.000304
19600,0.000582,0.000984,0.003076,0.006805,0.001132,0.000997,0.000999,0.002166,0.002204,0.000674,0.000292
19700,0.000582,0.001010,0.003093,0.007612,0.001149,0.001003,0.001004,0.002146,0.002229,0.000554,0.000298
19800,0.000611,0.000979,0.003078,0.006587,0.001145,0.001001,0.001001,0.002129,0.002473,0.000722,0.000293
19900,0.000588,0.001013,0.003075,0.004987,0.001139,0.001004,0.001003,0.002131,0.002551,0.000667,0.000304
20000,0.000587,0.001001,0.003081,0.006474,0.001139,0.000996,0.000999,0.002107,0.002272,0.000757,0.000309
20100,0.000609,0.001002,0.003084,0.007466,0.001141,0.001000,0.000999,0.002154,0.002706,0.000687,0.000293
20200,0.000571,0.000939,inf,0.005872,0.001141,0.001003,0.001003,0.002153,0.002419,0.000601,0.000296
20300,0.000591,0.000934,0.003081,0.006170,0.001144,0.001002,0.000999,0.002131,0.002416,0.000698,0.000290
20400,0.000586,0.000955,0.003079,0.005631,0.001128,0.000997,0.000995,0.002152,0.002609,0.000687,0.000294
20500,0.000582,0.000924,0.003079,0.007271,0.001131,0.001001,0.000999,0.002144,0.002380,0.000635,0.000293
20600,0.000601,0.000936,0.003077,0.007384,0.001144,0.001000,0.001002,0.002077,0.002266,0.000706,0.000306
20700,0.000592,0.001016,0.003080,0.008035,0.001140,0.000997,0.000999,0.002099,0.002182,0.000641,0.000298
20800,0.000615,0.001054,0.003080,0.006765,0.001127,0.001006,0.001000,0.002118,0.002343,0.000603,0.000295
20900,0.000570,0.001011,0.003081,0.006562,0.001130,0.001000,0.001002,0.002160,0.002167,0.000643,0.000303
21000,0.000614,0.001030,0.003076,0.007212,0.001141,0.000997,0.000996,0.002138,0.002414,0.000653,0.000302
21100,0.000565,0.001056,0.003082,0.006326,0.001136,0.001002,0.000999,0.002130,0.002208,0.000644,0.000290
21200,0.000621,0.000948,0.003077,0.007112,0.001141,0.001001,0.001002,0.002136,0.002745,0.000611,0.000286
21300,0.000563,0.000961,0.003089,0.007012,0.001137,0.001002,0.001000,0.002107,0.002791,0.000647,0.000305
21400,0.000590,0.000981,0.003078,0.006538,0.001155,0.001000,0.001001,0.002148,0.002478,0.000617,0.000290
21500,0.000582,0.000986,0.003074,0.006623,0.001142,0.000998,0.000999,0.002129,0.002258,0.000538,0.000285
21600,0.000560,0.000971,0.003075,0.007220,0.001148,0.001000,0.001003,0.002139,0.002389,0.000648,0.000305
21700,0.000598,0.000997,0.003078,0.006792,0.001126,0.000995,0.000997,0.002075,0.002215,0.000666,0.000296
21800,0.000596,0.000927,0.003088,0.005775,0.001141,0.001001,0.000997,0.002119,0.002289,0.000694,0.000291
21900,0.000586,0.001009,0.003081,0.006995,0.001141,0.001002,0.001000,0.002133,0.002448,0.000692,0.000292
22000,0.000607,0.001005,0.003081,0.006964,0.001129,0.001000,0.001002,0.002138,0.002702,0.000623,0.000294
22100,0.000604,0.000979,0.003081,0.007312,0.001131,0.000995,0.000998,0.002076,0.002521,0.000688,0.000294
22200,0.000578,0.000872,0.003082,0.006129,0.001144,0.001002,0.001003,0.002153,0.003182,0.000773,0.000300
22300,0.000630,0.001054,0.003077,0.006327,0.001142,0.000998,0.000999,0.002143,0.002671,0.000594,0.000314
22400,0.000582,0.001053,0.003076,0.007647,0.001140,0.000999,0.000997,0.002149,0.002676,0.000671,0.000294
